lugar_trabajo,tipo_contrato,salario_mensual_bruto,salario_mensual_neto,trabajo_de,anios_experiencia,anios_empresa_actual,anios_puesto_actual,personal_a_cargo,plataformas,lenguajes_programacion,framework_librerias_herramientas,bases_de_datos,qa_testing,ides,cantidad_personal_organizacion,actividad_principal,edad
GBA,Full-Time,"42500,83",35900,profesor,24,22,22,0,Linux,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,"Android Studio, Visual Studio",51-100,Servicios / Consultoría de Software / Digital,50
Santa Fe,Full-Time,42298.45,43705,Developer,20,10,5,0,"Azure, Linux, Windows Server",".NET, C#, Javascript, SQL, VB6",.NET Core,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Postman,"Notepad++, Sublime Text, Vi, Vim, Visual Studio, Visual Studio Code",11-50,Otras industrias,44
Córdoba,Full-Time,42168.67,35000,Developer y UX,0,0,0,0,"Docker, Linux","CSS, HTML, Javascript","React.js, SASS",Ninguna de las anteriores,Ninguna de las anteriores,"Vim, Visual Studio Code",1-10,Producto basado en Software,28
Córdoba,Full-Time,42168.67,35000,Business Analyst,0,0,0,0,"SAP, Power BI","SQL, Dax,M",Ninguno de los anteriores,"HANA, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,Eclipse,101-200,Servicios / Consultoría de Software / Digital,24
San Juan,Full-Time,"42168,5",35000,Product Manager,0,0,0,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,11-50,Servicios / Consultoría de Software / Digital,25
San Juan,Full-Time,"42168,5",35000,Product Manager,0,0,0,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,11-50,Servicios / Consultoría de Software / Digital,25
Córdoba,Full-Time,"41285,54",34267,Content,1,0,0,0,Google Cloud Platform/App Engine,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,101-200,Producto basado en Software,24
Ciudad Autónoma de Buenos Aires,Part-Time,40271.25,33000,Developer,0,0,0,0,Ninguna de las anteriores,"Javascript, SQL","Node.js, React.js","MySQL, PostgreSQL",Jest,Visual Studio Code,51-100,Producto basado en Software,24
Provincia de Buenos Aires,Remoto (empresa de otro país),"4,183€",2919,Project Manager,4,4,1,8,"Linux, Microcontroladores","Bash/Shell, C++, Python, SQL","Node.js, TensorFlow, Torch","MySQL, PostgreSQL",Postman,IPython / Jupyter,101-200,Producto basado en Software,32
Chubut,Part-Time,"39648,95",32363,HelpDesk,7,4,4,0,Linux,"Javascript, PHP, SQL","Laravel, WordPress","MySQL, PostgreSQL",Visual Studio Coded UI,"Sublime Text, Visual Studio Code",11-50,Servicios / Consultoría de Software / Digital,25
Santa Fe,Full-Time,"37421,5",28750,Field Technician,0,0,0,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,1-10,Servicios / Consultoría de Software / Digital,38
Ciudad Autónoma de Buenos Aires,Freelance,330 pesos la hora,330000,"Help desk, analista en sistemas, tecnico informático",17,0,0,0,Windows Server,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,51-100,Otras industrias,32
Ciudad Autónoma de Buenos Aires,Full-Time,321761.67,223270.28,Technical Leader,20,4,1,0,"Amazon Web Services, Azure, *BSD, Docker, Google Cloud Platform/App Engine, Heroku, Kubernetes, Linux, OpenShift, SAP, Windows Server","Bash/Shell, Javascript, Python","Node.js, React.js, Spring","Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, Cassandra, HANA, MongoDB, Oracle, PostgreSQL, Redis",Ninguna de las anteriores,"Atom, Eclipse, Emacs, Vi, Vim",10001+,Producto basado en Software,39
La Rioja,Full-Time,32.5,29.5,QA / Tester,0,0,0,0,Ninguna de las anteriores,Javascript,Ninguno de los anteriores,Ninguna de las anteriores,"Appium, JUnit, Ninguna de las anteriores",Visual Studio Code,1001-2000,Servicios / Consultoría de Software / Digital,24
Ciudad Autónoma de Buenos Aires,Full-Time,304221.34,230558,SysAdmin / DevOps / SRE,21,20,5,0,"*BSD, Linux, VMWare, Windows Server","Bash/Shell, Javascript, Perl, PHP, Python","Bootstrap, Flask, jQuery, Node.js","MariaDB, Microsoft SQL Server, MongoDB, MySQL, PostgreSQL, SQLite",Ninguna de las anteriores,"Atom, Nano, Notepad++, Sublime Text, Vi, Vim, Visual Studio Code",10001+,Otras industrias,41
,Remoto (empresa de otro país),3000 USD,2600,Developer,4,0,0,0,"Amazon Web Services, Serverless","CSS, HTML, Javascript, TypeScript","Node.js, React.js, Next","Amazon DynamoDB, ElasticSearch, Redis, SQLite","Jest, Postman, New Relic, Kibana","PyCharm, Visual Studio Code, Xcode",1001-2000,Otras industrias,26
,Full-Time,3000 Bolivianos,2610,Architect,3,1,1,0,"Azure, Firebase, Linux, Windows Server",".NET, C#, SQL",".NET Core, Angular",Microsoft SQL Server,Ninguna de las anteriores,"Notepad++, Visual Studio, Visual Studio Code",5001-10000,Otras industrias,29
GBA,Full-Time,"286406,8",192474,Infosec,12,2,2,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,10001+,Producto basado en Software,35
Provincia de Buenos Aires,Full-Time,"281584,2",195526,Developer,11,5,5,0,"Docker, IBM Cloud / Watson, Kubernetes","Java, Javascript, Ruby, Scala","Angular, jQuery, Rails, React.js","Oracle, PostgreSQL, Redis","Cucumber, JUnit, Karma, RSpec","IntelliJ, Visual Studio Code",10001+,Producto basado en Software,35
,Full-Time,2700 USD,2100,SysAdmin / DevOps / SRE,20,4,4,3,"AIX, Docker, Linux, VMWare, Windows Server","Bash/Shell, Python",0,"IBM Db2, Microsoft SQL Server, MongoDB, MySQL, PostgreSQL, Redis",TFS,"Notepad++, Vim",1001-2000,Otras industrias,36
Ciudad Autónoma de Buenos Aires,Part-Time,26847.5,,QA / Tester,0,0,0,0,Ninguna de las anteriores,Javascript,Ninguno de los anteriores,Ninguna de las anteriores,"Cucumber, Cypress, Postman",Visual Studio Code,11-50,Servicios / Consultoría de Software / Digital,20
,Full-Time,2600000 millones de pesos,2200000,SysAdmin / DevOps / SRE,2,0,0,0,"Amazon Web Services, Azure, Docker, Google Cloud Platform/App Engine, Kubernetes, Linux, Serverless, VMWare, Windows Server","Go, Python",Spring,"Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, ElasticSearch, MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL, PostgreSQL, Redis",Cucumber,"Vim, Visual Studio Code",201-500,Servicios / Consultoría de Software / Digital,28
,Full-Time,25913.68,20343.94,Developer,6,3,1,1,"Arduino o similar, Firebase, Kubernetes, Linux, VMWare, Windows Server",".NET, Arduino, C++, C#, CSS, HTML, Java, Javascript, Kotlin, PHP, Python, SQL, TypeScript",".NET Core, Angular, Bootstrap, Cordova, Django, Flutter, jQuery, Laravel, Node.js, React.js, Symfony, WordPress","MariaDB, MongoDB, MySQL, Oracle, PostgreSQL, SQLite",Ninguna de las anteriores,"Android Studio, Atom, Eclipse, IPython / Jupyter, NetBeans, Notepad++, Sublime Text, Visual Studio, Visual Studio Code",11-50,Otras industrias,32
GBA,Full-Time,"258607,79",158000,Developer,12,2,2,0,"Amazon Web Services, Docker, Kubernetes","Java, Javascript, Scala, TypeScript","Akka, Node.js, React.js","ElasticSearch, Redis, Amazon neptune, Fuseki","Jest, JUnit","IntelliJ, Sublime Text, WebStorm",201-500,Producto basado en Software,36
,Full-Time,25304.9,18332.2,DBA,3,2.5,2.5,0,"Docker, Google Cloud Platform/App Engine, Linux","Bash/Shell, C#, HTML, PHP, SQL",Ninguno de los anteriores,"MySQL, PostgreSQL, Sybase",Ninguna de las anteriores,"Vi, Visual Studio Code",2001-5000,Otras industrias,28
,Full-Time,22874.1,18000,Developer,3,0,0,2,"Amazon Web Services, Docker, Heroku","HTML, Javascript, Kotlin, Python","Bootstrap, Django, jQuery, React.js","PostgreSQL, Redis",Jest,Visual Studio Code,1-10,Otras industrias,24
Córdoba,Full-Time,217603.53,145655.44,Developer,7,3,3,0,Linux,"Assembler, Bash/Shell, C, C++, Python","libcurl, libarchive, openssl",Ninguna de las anteriores,Behave,Sublime Text,11-50,Producto basado en Software,30
Córdoba,Full-Time,"217142,62",145793,Architect,15,3,1,2,"Kubernetes, OpenShift",Java,Spring,MongoDB,JUnit,IntelliJ,10001+,Servicios / Consultoría de Software / Digital,38
Ciudad Autónoma de Buenos Aires,Full-Time,201729.17,133395.16,Project Manager,17,15,6,3,Ninguna de las anteriores,SQL,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,Ninguno de los anteriores,101-200,Producto basado en Software,38
Ciudad Autónoma de Buenos Aires,Full-Time,"201088,38",,UX,11,2,2,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,10001+,Otras industrias,35
Provincia de Buenos Aires,Full-Time,20000 ars,,Storage / Backup,5,10,5,0,"VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,Ninguno de los anteriores,1-10,Otras industrias,24
,Full-Time,2000 soles,2000,Developer,5,2,2,4,"Amazon Web Services, Azure, Linux, Windows Server",".NET, C#, CSS, HTML, Java, Javascript, PHP, SQL, VBA",".NET Core, Angular, Bootstrap, Hibernate, jQuery, Node.js, React.js, Spring, Vue.js, WordPress","MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, Oracle, PostgreSQL, Sybase","JUnit, Postman, Visual Studio Coded UI","Android Studio, Eclipse, NetBeans, Visual Studio, Visual Studio Code",11-50,Servicios / Consultoría de Software / Digital,24
Ciudad Autónoma de Buenos Aires,Full-Time,195842.5,,Developer,15,6,6,5,Ninguna de las anteriores,Kotlin,Ninguno de los anteriores,SQLite,JUnit,Android Studio,201-500,Producto basado en Software,37
Provincia de Buenos Aires,Full-Time,190mil,124000,Developer,10,2,1,0,Ninguna de las anteriores,"CSS, Javascript",React.js,MongoDB,Ninguna de las anteriores,Visual Studio Code,201-500,Producto basado en Software,33
Ciudad Autónoma de Buenos Aires,Full-Time,189876.12,113932.67,CTO,30,5,5,280,"AIX, Amazon Web Services, Azure, Docker, Google Cloud Platform/App Engine, IBM Cloud / Watson, Kubernetes, Linux, OpenShift, OpenStack, SAP, VMWare, Windows Server",".NET, HTML, Java, Javascript, Perl, PHP, Python, Ruby","Angular, Drupal, Hadoop, Hibernate, jQuery, Node.js, SAP, WordPress","Amazon DynamoDB, HANA, IBM Db2, MariaDB, Microsoft SQL Server, Oracle, PostgreSQL, Sybase","HP LoadRunner, HP UFT","IPython / Jupyter, Komodo",501-1000,Otras industrias,54
Ciudad Autónoma de Buenos Aires,Full-Time,"187271,7",110000,Developer,5,3,0,0,Ninguna de las anteriores,"CSS, HTML, Javascript","Node.js, React.js",Ninguna de las anteriores,Jest,"IntelliJ, Visual Studio Code",10001+,Producto basado en Software,28
Ciudad Autónoma de Buenos Aires,Full-Time,182066.69,129628.46,Technical Leader,25,10,1,35,"Docker, Google Cloud Platform/App Engine, Kubernetes, Linux, OpenShift, OpenStack, Serverless","Bash/Shell, Go, Java, Javascript, PHP, Python, SQL","Bootstrap, Hibernate, jQuery, Node.js, Spring","MariaDB, Oracle, PostgreSQL",Ninguna de las anteriores,"Eclipse, NetBeans, Visual Studio",11-50,Servicios / Consultoría de Software / Digital,46
Mendoza,Full-Time,180722.89,150000,Technical Leader,9,7,3,5,"Amazon Web Services, Linux","Bash/Shell, Java, Javascript, TypeScript","Angular, Hibernate, Spring",MySQL,"Cucumber, Cypress, JUnit, Postman","Eclipse, IntelliJ, Vi, Vim",51-100,Producto basado en Software,39
Ciudad Autónoma de Buenos Aires,Full-Time,177272.91,101024.54,SysAdmin / DevOps / SRE,4,2,2,0,"Amazon Web Services, Docker, Heroku, Kubernetes, Linux, Serverless","Bash/Shell, C, Go, Python, SQL",Ninguno de los anteriores,"Amazon DynamoDB, Amazon Redshift, Apache HBase, Amazon RDS/Aurora, Cassandra, ElasticSearch, MongoDB, MySQL, PostgreSQL, Redis",Ninguna de las anteriores,"Atom, IntelliJ, PyCharm, Visual Studio Code, WebStorm",501-1000,Producto basado en Software,24
Ciudad Autónoma de Buenos Aires,Full-Time,172369.88,100562.67,Developer,5,1,1,1,Ninguna de las anteriores,"Python, SQL",Django,"ElasticSearch, PostgreSQL, Redis",Ninguna de las anteriores,"IntelliJ, Notepad++, Sublime Text, Visual Studio, Visual Studio Code",10001+,Otras industrias,27
Ciudad Autónoma de Buenos Aires,Full-Time,170.5,116000,Cybersecurity&Risk Engineer ,7,2,1,0,GRC,Ninguno de los anteriores,Ninguno de los anteriores,MySQL,Ninguna de las anteriores,Ninguno de los anteriores,10001+,Otras industrias,29
GBA,Full-Time,16413.34,16413.34,Developer,0,0,0,1,Ninguna de las anteriores,Javascript,"Node.js, React.js, Vue.js","MongoDB, MySQL, PostgreSQL, SQLite",Ninguna de las anteriores,"Nano, Visual Studio Code",1-10,Producto basado en Software,19
Provincia de Buenos Aires,Full-Time,160,116000,Technical Leader,6,5,2,6,"Amazon Web Services, Docker",Java,Spring,Ninguna de las anteriores,"JUnit, Postman, SoapUI","IntelliJ, Notepad++",101-200,Servicios / Consultoría de Software / Digital,37
Ciudad Autónoma de Buenos Aires,Full-Time,156559.72,113652.68,Gerente de Seguridad Informática,19,5,0,26,"Azure, Linux, Windows Server, FotiGate, Sophos, Arbor","C#, HTML, Javascript, PHP, SQL",Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), PostgreSQL, SQLite",Ninguna de las anteriores,"Notepad++, Vim",10001+,Otras industrias,36
Ciudad Autónoma de Buenos Aires,Full-Time,154138.94,110294,Developer,4,2,2,3,"Azure, Docker, Kubernetes, Linux, Solaris",".NET, Bash/Shell",.NET Core,"ElasticSearch, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, PostgreSQL",Ninguna de las anteriores,"Sublime Text, Visual Studio, Visual Studio Code",201-500,Producto basado en Software,24
,Remoto (empresa de otro país),15 000,1889,Developer,16,1,5,0,Azure,".NET, Javascript",".NET Core, jQuery",Microsoft SQL Server,Ninguna de las anteriores,"Visual Studio, Visual Studio Code",11-50,Producto basado en Software,35
Ciudad Autónoma de Buenos Aires,Full-Time,"149923,4",113.5,Business Analyst,12,7,4,0,SAP,Ninguno de los anteriores,SAP,Ninguna de las anteriores,SoapUI,Ninguno de los anteriores,10001+,Otras industrias,33
Ciudad Autónoma de Buenos Aires,Full-Time,148643.45,108545.82,UX,3,0,0,0,Google Cloud Platform/App Engine,"HTML, PHP",jQuery,Microsoft SQL Server,Ninguna de las anteriores,Notepad++,201-500,Servicios / Consultoría de Software / Digital,34
Entre Ríos,Full-Time,146836.8,104680,Developer,3,2,3,0,"Amazon Web Services, Docker, Google Cloud Platform/App Engine","CSS, Go, HTML, Javascript",React.js,MySQL,"Cucumber, Jest, JUnit",Visual Studio Code,10001+,Producto basado en Software,24
Ciudad Autónoma de Buenos Aires,Full-Time,"145118,82",103151,Developer,8,3,3,0,"Amazon Web Services, Docker, Kubernetes","HTML, Scala, SQL","Akka, Rails, Spring, Lagom","MySQL, PostgreSQL",JUnit,IntelliJ,101-200,Servicios / Consultoría de Software / Digital,30
Ciudad Autónoma de Buenos Aires,Full-Time,145.7,102.35,Manager / Director,19,4,2,37,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,1001-2000,Otras industrias,39
Córdoba,Full-Time,136942.27,95927.94,Machine Learning Engineer,4,2,1,1,"Amazon Web Services, Docker, Google Cloud Platform/App Engine","Bash/Shell, Python, SQL",Flask,"Apache Hive, Google Cloud Storage, Teradata",Postman,Visual Studio Code,5001-10000,Producto basado en Software,30
,Full-Time,1336.7,350.26,Infosec,4,2,2,0,"Mainframe, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft SQL Server, MySQL, Oracle, Sybase",Ninguna de las anteriores,Notepad++,2001-5000,Otras industrias,26
Santa Fe,Full-Time,131.8,108,Technical Leader,16,5,3,2,Ninguna de las anteriores,"CSS, HTML, Javascript","Bootstrap, jQuery, Node.js, WordPress","Microsoft SQL Server, MySQL",TFS,"Visual Studio, Visual Studio Code",201-500,Servicios / Consultoría de Software / Digital,38
Santa Fe,Full-Time,130000 aprox,95000,"Data Scientist/Data Analytics/""Transformador digital""",4,2,4,0,Linux,"Bash/Shell, Python, SQL","Django, TensorFlow","Microsoft SQL Server, PostgreSQL",Postman,"IPython / Jupyter, PyCharm, Vim, Visual Studio Code",201-500,Otras industrias,26
,Full-Time,1300 soles,1150,HelpDesk,2,2,2,2,"Amazon Web Services, Linux, Solaris, VMWare, Windows Server",C,SAP,MariaDB,Visual Studio Coded UI,Sublime Text,11-50,Servicios / Consultoría de Software / Digital,20
Córdoba,Remoto (empresa de otro país),1293143 (US$8343 * 155),1228486,Data Scientist,9,0,7,1,"Amazon Web Services, Docker, Linux, Salesforce, GitHub Actions",R,"TensorFlow, Shiny, Rmarkdown, Plumber","Amazon DynamoDB, Salesforce SOQL","Postman, testthat","RStudio, Vim",11-50,Otras industrias,31
Chubut,Full-Time,128678.36,91173,Developer,10,2,2,0,"Linux, Proxmox","HTML, Javascript, PHP, SQL","Bootstrap, jQuery, Laravel, Node.js, React.js","MariaDB, PostgreSQL","PHPUnit, Postman, SoapUI",Visual Studio Code,51-100,Otras industrias,42
Ciudad Autónoma de Buenos Aires,Full-Time,126284.28,95348,Developer,3,1,1,0,"Ninguna de las anteriores, Jenkins",C#,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,"Notepad++, Visual Studio",1001-2000,Producto basado en Software,28
Santa Fe,Full-Time,122539.36,85549.33,Developer,5,1.5,1.5,0,-,"Java, Kotlin",Ninguno de los anteriores,Ninguna de las anteriores,"JUnit, Postman","Android Studio, Visual Studio Code",51-100,Producto basado en Software,29
Formosa,Full-Time,121799.13,74883.44,SysAdmin / DevOps / SRE,8,3,3,0,"Amazon Web Services, Azure, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"IBM Db2, Microsoft SQL Server",Ninguna de las anteriores,Ninguno de los anteriores,501-1000,Otras industrias,35
Ciudad Autónoma de Buenos Aires,Full-Time,"121617,7",92418,Developer,3,2,2,0,"Amazon Web Services, Docker","CSS, Go, Groovy, Java, Javascript, Kotlin","Node.js, React.js, Spring","Amazon DynamoDB, ElasticSearch",No usamos herramientas de QA,"Android Studio, IntelliJ, Visual Studio Code, Xcode",2001-5000,Producto basado en Software,25
Ciudad Autónoma de Buenos Aires,Tercerizado (trabajo a través de consultora o agencia),121165.6,98661,Developer,9,2,2,0,OpenShift,Java,Spring,MongoDB,"JUnit, Postman",IntelliJ,51-100,Servicios / Consultoría de Software / Digital,32
Ciudad Autónoma de Buenos Aires,Remoto (empresa de otro país),12000 USD (No recibo moneda local),,Consultant,6,0,0,0,"Firebase, Google Cloud Platform/App Engine","HTML, Javascript, SQL, TypeScript","Node.js, React.js","Google Cloud Storage, PostgreSQL",Jest,Visual Studio Code,51-100,Producto basado en Software,27
Provincia de Buenos Aires,Full-Time,1200 USD,,Developer,4,4,4,0,"Amazon Web Services, Docker","Java, SQL","Angular, Bootstrap, Hibernate, jQuery, React.js, Spring","Amazon RDS/Aurora, ElasticSearch, MySQL",JUnit,"IntelliJ, Sublime Text, Visual Studio Code",11-50,Producto basado en Software,25
Santa Fe,Full-Time,120.5,100,Developer,4,1,3,0,"Firebase, Desarrollo Mobile","Java, Swift",Ninguno de los anteriores,SQLite,Postman,"Android Studio, Xcode",11-50,Producto basado en Software,26
Córdoba,Full-Time,"118320,79",83773,Developer,4,1,1,0,Amazon Web Services,"Go, Groovy, Java",Hibernate,MySQL,NUnit,Golang,10001+,Producto basado en Software,30
Ciudad Autónoma de Buenos Aires,Full-Time,"11722,16",88900,QA / Tester,1,1,1,0,"Amazon Web Services, Docker, Kubernetes","Java, Python, SQL","Spring, pytest","MariaDB, MongoDB, MySQL, Redis",Ninguna de las anteriores,"Eclipse, PyCharm",51-100,Producto basado en Software,36
Ciudad Autónoma de Buenos Aires,Full-Time,"116938,04",82794.31,UX User Research,1.5,1.5,1.5,0,Ninguna de las anteriores,"HTML, SQL",Ninguno de los anteriores,Teradata,Ninguna de las anteriores,Sublime Text,5001-10000,Producto basado en Software,30
Ciudad Autónoma de Buenos Aires,Full-Time,"113410,59",86083,Developer,1,1,1,0,"Linux, Windows Server",".NET, Bash/Shell, Java, Javascript, SQL, VBA","Angular, Hibernate, jQuery, Node.js, Spring",Microsoft SQL Server,Ninguna de las anteriores,"IntelliJ, Notepad++, Vi, Visual Studio, Visual Studio Code",1001-2000,Otras industrias,30
