lugar_trabajo,tipo_contrato,salario_mensual_bruto,salario_mensual_neto,trabajo_de,anios_experiencia,anios_empresa_actual,anios_puesto_actual,personal_a_cargo,plataformas,lenguajes_programacion,framework_librerias_herramientas,bases_de_datos,qa_testing,ides,cantidad_personal_organizacion,actividad_principal,edad
Provincia de Buenos Aires,Part-Time,48402.16,37802.09,SysAdmin / DevOps / SRE,20,12,12,0,"Google Cloud Platform/App Engine, SAP, Windows Server",SQL,SAP,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,11-50,Otras industrias,38
Ciudad Autónoma de Buenos Aires,Tercerizado (trabajo a través de consultora o agencia),"48776,66",44489,HelpDesk,20,4,4,0,"*BSD, Linux, TERADATA","Python, SQL","Hadoop, Spark","Apache Hive, Microsoft SQL Server",0,"IPython / Jupyter, Xcode",101-200,Otras industrias,40
Ciudad Autónoma de Buenos Aires,Full-Time,47959.77,53733.32,Developer,2,2,2,0,Weblogic,"HTML, Java, Kotlin, SQL, PL/SQL","Bootstrap, Hibernate, jQuery, Spring",Oracle,JUnit,"Eclipse, Notepad++, Visual Studio Code",201-500,Servicios / Consultoría de Software / Digital,28
Provincia de Buenos Aires,Full-Time,47809.92,43139.13,Architect,1,1,1,0,"Ninguna de las anteriores, Oracle","Java, SQL",Ninguno de los anteriores,"Cassandra, ElasticSearch, Microsoft SQL Server, Oracle","Postman, SoapUI","Notepad++, Sublime Text, Vim",10001+,Servicios / Consultoría de Software / Digital,33
Misiones,Part-Time,"47455,74",40000,Reparación y Mantenimiento de Pc,7,4,2,1,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,1-10,Otras industrias,31
Provincia de Buenos Aires,Full-Time,"47385,64",43585,"Soy Analista de Sistemas (asi tambien figura en el recibo) hago Diseño y Dev, Help-Desk y algo de mantenimiento de redes ",3,3,3,0,"Amazon Web Services, Windows Server","CSS, HTML, Java, Javascript, PHP, Python, SQL","Bootstrap, jQuery, Laravel, Node.js, React.js","MariaDB, Microsoft SQL Server, MySQL",Postman,"Atom, Visual Studio, Visual Studio Code",11-50,Otras industrias,24
Ciudad Autónoma de Buenos Aires,Part-Time,46867.47,38900,Developer,3,2,3,0,Ninguna de las anteriores,"Javascript, Ruby","Bootstrap, jQuery, Rails",PostgreSQL,Ninguna de las anteriores,RubyMine,11-50,Producto basado en Software,26
Provincia de Buenos Aires,Part-Time,46858.94,37717.12,Developer,5,5,5,0,"Linux, Solaris","HTML, Java, Javascript","Bootstrap, Hibernate, jQuery, Spring","MySQL, PostgreSQL, Adabas",Ninguna de las anteriores,Eclipse,1001-2000,Otras industrias,30
Córdoba,Full-Time,"45921,19",41985.29,HelpDesk,0,0,0,0,Windows Server,.NET,desconozco,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,desconozco,11-50,Producto basado en Software,30
GBA,Remoto (empresa de otro país),"455208,05",,Developer,3,0,0,0,Docker,"Go, Ruby, SQL",Rails,"PostgreSQL, Redis, RabbitMQ",RSpec,Visual Studio Code,101-200,Producto basado en Software,25
Ciudad Autónoma de Buenos Aires,Full-Time,45000+42000 en negro,80000,Developer,4,4,4,0,"Docker, Linux, Windows Server",".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, Bootstrap, jQuery, React.js","Microsoft SQL Server, MongoDB",Ninguna de las anteriores,"Notepad++, Visual Studio, Visual Studio Code",11-50,Producto basado en Software,30
Ciudad Autónoma de Buenos Aires,Remoto (empresa de otro país),4500 dolares,4500,Developer,8,1,1,0,Amazon Web Services,Javascript,"Angular, Node.js, React.js",MongoDB,Jest,"IntelliJ, WebStorm",5001-10000,Producto basado en Software,35
Provincia de Buenos Aires,Full-Time,44.7,40,SysAdmin / DevOps / SRE,11,11,8,0,"Google Cloud Platform/App Engine, Microcontroladores, SAP, Windows Server",".NET, ActionScript, Go, HTML, SQL",.NET Core,"Amazon DynamoDB, Google Cloud Storage, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Test Complete,"Android Studio, Eclipse, Visual Studio",51-100,Otras industrias,37
Provincia de Buenos Aires,Full-Time,43485.03,45897,Developer,17,17,17,0,Ninguna de las anteriores,"Delphi, PHP, SQL",Framework Delphi de desarrollo propio,"MySQL, PostgreSQL, Firebird",Ninguna de las anteriores,"Visual Studio Code, Delphi",1-10,Producto basado en Software,39
Ciudad Autónoma de Buenos Aires,Full-Time,42806.91,45321,Manager / Director,10,7,5,4,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,11-50,Otras industrias,33
Ciudad Autónoma de Buenos Aires,Full-Time,42501.96,66366.66,Consultant,4,4,1,0,"Linux, Windows Server, Oracle Cloud Services","Bash/Shell, Groovy, Java, Python, SQL, VBA",Ninguno de los anteriores,Oracle,Selenium,"Notepad++, Visual Studio",501-1000,Servicios / Consultoría de Software / Digital,29
